DailyConfirmed,DailyDeceased,DailyRecovered,TotalConfirmed,TotalDeceased,TotalRecovered
1,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
1,0,0,2,0,0
1,0,0,3,0,0
0,0,0,3,0,0
0,0,0,3,0,0
0,0,0,3,0,0
0,0,0,3,0,0
0,0,0,3,0,0
0,0,0,3,0,0
0,0,0,3,0,0
0,0,0,3,0,0
0,0,0,3,0,0
0,0,1,3,0,1
0,0,0,3,0,1
0,0,0,3,0,1
0,0,1,3,0,2
0,0,0,3,0,2
0,0,0,3,0,2
0,0,0,3,0,2
0,0,1,3,0,3
0,0,0,3,0,3
0,0,0,3,0,3
0,0,0,3,0,3
0,0,0,3,0,3
0,0,0,3,0,3
0,0,0,3,0,3
0,0,0,3,0,3
0,0,0,3,0,3
0,0,0,3,0,3
0,0,0,3,0,3
2,0,0,5,0,3
1,0,0,6,0,3
22,0,0,28,0,3
2,0,0,30,0,3
1,0,0,31,0,3
3,0,0,34,0,3
5,0,0,39,0,3
9,0,0,48,0,3
15,0,1,63,0,4
8,0,0,71,0,4
10,1,0,81,1,4
10,0,6,91,1,10
11,1,0,102,2,10
10,0,3,112,2,13
14,0,1,126,2,14
20,1,1,146,3,15
25,0,0,171,3,15
27,1,5,198,4,20
58,0,3,256,4,23
78,0,0,334,4,23
69,3,0,403,7,23
94,2,2,497,9,25
74,1,15,571,10,40
86,1,3,657,11,43
73,5,7,730,16,50
153,3,25,883,19,75
136,5,10,1019,24,85
120,3,17,1139,27,102
187,16,35,1326,43,137
309,6,13,1635,49,150
424,7,19,2059,56,169
486,16,22,2545,72,191
560,14,39,3105,86,230
579,13,56,3684,99,286
609,22,43,4293,121,329
485,16,65,4778,137,394
573,27,75,5351,164,469
565,20,96,5916,184,565
813,46,70,6729,230,635
871,22,151,7600,252,786
854,40,186,8454,292,972
758,42,114,9212,334,1086
1243,27,112,10455,361,1198
1035,37,167,11490,398,1365
882,27,144,12372,425,1509
