Date,DailyConfirmed,DailyDeceased,DailyRecovered,TotalConfirmed,TotalDeceased,TotalRecovered
30 January ,1,0,0,1,0,0
31 January ,0,0,0,1,0,0
01 February ,0,0,0,1,0,0
02 February ,1,0,0,2,0,0
03 February ,1,0,0,3,0,0
04 February ,0,0,0,3,0,0
05 February ,0,0,0,3,0,0
06 February ,0,0,0,3,0,0
07 February ,0,0,0,3,0,0
08 February ,0,0,0,3,0,0
09 February ,0,0,0,3,0,0
10 February ,0,0,0,3,0,0
11 February ,0,0,0,3,0,0
12 February ,0,0,0,3,0,0
13 February ,0,0,1,3,0,1
14 February ,0,0,0,3,0,1
15 February ,0,0,0,3,0,1
16 February ,0,0,1,3,0,2
17 February ,0,0,0,3,0,2
18 February ,0,0,0,3,0,2
19 February ,0,0,0,3,0,2
20 February ,0,0,1,3,0,3
21 February ,0,0,0,3,0,3
22 February ,0,0,0,3,0,3
23 February ,0,0,0,3,0,3
24 February ,0,0,0,3,0,3
25 February ,0,0,0,3,0,3
26 February ,0,0,0,3,0,3
27 February ,0,0,0,3,0,3
28 February ,0,0,0,3,0,3
29 February ,0,0,0,3,0,3
01 March ,0,0,0,3,0,3
02 March ,2,0,0,5,0,3
03 March ,1,0,0,6,0,3
04 March ,22,0,0,28,0,3
05 March ,2,0,0,30,0,3
06 March ,1,0,0,31,0,3
07 March ,3,0,0,34,0,3
08 March ,5,0,0,39,0,3
09 March ,9,0,0,48,0,3
10 March ,15,0,1,63,0,4
11 March ,7,0,0,70,0,4
12 March ,12,1,0,82,1,4
13 March ,9,0,6,91,1,10
14 March ,16,1,0,107,2,10
15 March ,6,0,3,113,2,13
16 March ,14,0,1,127,2,14
17 March ,19,1,1,146,3,15
18 March ,25,0,0,171,3,15
19 March ,28,1,5,199,4,20
20 March ,59,0,3,258,4,23
21 March ,76,0,0,334,4,23
22 March ,69,3,0,403,7,23
23 March ,102,2,2,505,9,25
24 March ,66,1,15,571,10,40
25 March ,86,1,3,657,11,43
26 March ,78,5,7,735,16,50
27 March ,151,3,25,886,19,75
28 March ,143,5,10,1029,24,85
29 March ,110,3,17,1139,27,102
30 March ,208,16,35,1347,43,137
31 March ,278,6,13,1625,49,150
