Date,State,Confirmed,Deceased,Recovered
2020-03-14,Andaman and Nicobar Islands,0,0,0
2020-03-14,Andhra Pradesh,1,0,0
2020-03-14,Arunachal Pradesh,0,0,0
2020-03-14,Assam,0,0,0
2020-03-14,Bihar,0,0,0
2020-03-14,Chandigarh,0,0,0
2020-03-14,Chhattisgarh,0,0,0
2020-03-14,DD,0,0,0
2020-03-14,Dadra and Nagar Haveli and Daman and Diu,0,0,0
2020-03-14,Delhi,7,1,1
2020-03-14,Goa,0,0,0
2020-03-14,Gujarat,0,0,0
2020-03-14,Haryana,14,0,0
2020-03-14,Himachal Pradesh,0,0,0
2020-03-14,Jammu and Kashmir,2,0,0
2020-03-14,Jharkhand,0,0,0
2020-03-14,Karnataka,6,1,0
2020-03-14,Kerala,19,0,3
2020-03-14,Ladakh,0,0,0
2020-03-14,Lakshadweep,0,0,0
2020-03-14,Madhya Pradesh,0,0,0
2020-03-14,Maharashtra,14,0,0
2020-03-14,Manipur,0,0,0
2020-03-14,Meghalaya,0,0,0
2020-03-14,Mizoram,0,0,0
2020-03-14,Nagaland,0,0,0
2020-03-14,Odisha,0,0,0
2020-03-14,Puducherry,0,0,0
2020-03-14,Punjab,1,0,0
2020-03-14,Rajasthan,3,0,1
2020-03-14,Sikkim,0,0,0
2020-03-14,State Unassigned,0,0,0
2020-03-14,Tamil Nadu,1,0,0
2020-03-14,Telangana,1,0,0
2020-03-14,Total,81,2,9
2020-03-14,Tripura,0,0,0
2020-03-14,Uttar Pradesh,12,0,4
2020-03-14,Uttarakhand,0,0,0
2020-03-14,West Bengal,0,0,0
2020-03-15,Andaman and Nicobar Islands,0,0,0
2020-03-15,Andhra Pradesh,0,0,0
2020-03-15,Arunachal Pradesh,0,0,0
2020-03-15,Assam,0,0,0
2020-03-15,Bihar,0,0,0
2020-03-15,Chandigarh,0,0,0
2020-03-15,Chhattisgarh,0,0,0
2020-03-15,DD,0,0,0
2020-03-15,Dadra and Nagar Haveli and Daman and Diu,0,0,0
2020-03-15,Delhi,0,0,1
2020-03-15,Goa,0,0,0
2020-03-15,Gujarat,0,0,0
2020-03-15,Haryana,0,0,0
2020-03-15,Himachal Pradesh,0,0,0
2020-03-15,Jammu and Kashmir,0,0,0
2020-03-15,Jharkhand,0,0,0
2020-03-15,Karnataka,0,0,0
2020-03-15,Kerala,5,0,0
2020-03-15,Ladakh,0,0,0
2020-03-15,Lakshadweep,0,0,0
2020-03-15,Madhya Pradesh,0,0,0
2020-03-15,Maharashtra,18,0,0
2020-03-15,Manipur,0,0,0
2020-03-15,Meghalaya,0,0,0
2020-03-15,Mizoram,0,0,0
2020-03-15,Nagaland,0,0,0
2020-03-15,Odisha,0,0,0
2020-03-15,Puducherry,0,0,0
2020-03-15,Punjab,0,0,0
2020-03-15,Rajasthan,1,0,2
2020-03-15,Sikkim,0,0,0
2020-03-15,State Unassigned,0,0,0
2020-03-15,Tamil Nadu,0,0,0
2020-03-15,Telangana,2,0,1
2020-03-15,Total,27,0,4
2020-03-15,Tripura,0,0,0
2020-03-15,Uttar Pradesh,1,0,0
2020-03-15,Uttarakhand,0,0,0
2020-03-15,West Bengal,0,0,0
2020-03-16,Andaman and Nicobar Islands,0,0,0
2020-03-16,Andhra Pradesh,0,0,0
2020-03-16,Arunachal Pradesh,0,0,0
2020-03-16,Assam,0,0,0
2020-03-16,Bihar,0,0,0
2020-03-16,Chandigarh,0,0,0
2020-03-16,Chhattisgarh,0,0,0
2020-03-16,DD,0,0,0
2020-03-16,Dadra and Nagar Haveli and Daman and Diu,0,0,0
2020-03-16,Delhi,0,0,0
2020-03-16,Goa,0,0,0
2020-03-16,Gujarat,0,0,0
2020-03-16,Haryana,0,0,0
2020-03-16,Himachal Pradesh,0,0,0
2020-03-16,Jammu and Kashmir,1,0,0
2020-03-16,Jharkhand,0,0,0
2020-03-16,Karnataka,1,0,0
2020-03-16,Kerala,3,0,0
2020-03-16,Ladakh,0,0,0
2020-03-16,Lakshadweep,0,0,0
2020-03-16,Madhya Pradesh,0,0,0
2020-03-16,Maharashtra,6,0,0
2020-03-16,Manipur,0,0,0
2020-03-16,Meghalaya,0,0,0
2020-03-16,Mizoram,0,0,0
2020-03-16,Nagaland,0,0,0
2020-03-16,Odisha,1,0,0
2020-03-16,Puducherry,1,0,0
2020-03-16,Punjab,0,0,0
2020-03-16,Rajasthan,0,0,0
2020-03-16,Sikkim,0,0,0
2020-03-16,State Unassigned,0,0,0
2020-03-16,Tamil Nadu,0,0,1
2020-03-16,Telangana,1,0,0
2020-03-16,Total,15,0,1
2020-03-16,Tripura,0,0,0
2020-03-16,Uttar Pradesh,0,0,0
2020-03-16,Uttarakhand,1,0,0
2020-03-16,West Bengal,0,0,0
2020-03-17,Andaman and Nicobar Islands,0,0,0
2020-03-17,Andhra Pradesh,0,0,0
2020-03-17,Arunachal Pradesh,0,0,0
2020-03-17,Assam,0,0,0
2020-03-17,Bihar,0,0,0
2020-03-17,Chandigarh,0,0,0
2020-03-17,Chhattisgarh,0,0,0
2020-03-17,DD,0,0,0
2020-03-17,Dadra and Nagar Haveli and Daman and Diu,0,0,0
2020-03-17,Delhi,1,0,0
2020-03-17,Goa,0,0,0
2020-03-17,Gujarat,0,0,0
2020-03-17,Haryana,1,0,0
2020-03-17,Himachal Pradesh,0,0,0
2020-03-17,Jammu and Kashmir,0,0,0
2020-03-17,Jharkhand,0,0,0
2020-03-17,Karnataka,2,0,0
2020-03-17,Kerala,0,0,0
2020-03-17,Ladakh,0,0,0
2020-03-17,Lakshadweep,0,0,0
2020-03-17,Madhya Pradesh,0,0,0
2020-03-17,Maharashtra,3,1,0
2020-03-17,Manipur,0,0,0
2020-03-17,Meghalaya,0,0,0
2020-03-17,Mizoram,0,0,0
2020-03-17,Nagaland,0,0,0
2020-03-17,Odisha,0,0,0
2020-03-17,Puducherry,0,0,0
2020-03-17,Punjab,0,0,0
2020-03-17,Rajasthan,0,0,0
2020-03-17,Sikkim,0,0,0
2020-03-17,State Unassigned,0,0,0
2020-03-17,Tamil Nadu,0,0,0
2020-03-17,Telangana,1,0,0
2020-03-17,Total,11,1,1
2020-03-17,Tripura,0,0,0
2020-03-17,Uttar Pradesh,2,0,1
2020-03-17,Uttarakhand,0,0,0
2020-03-17,West Bengal,1,0,0
2020-03-18,Andaman and Nicobar Islands,0,0,0
2020-03-18,Andhra Pradesh,0,0,0
2020-03-18,Arunachal Pradesh,0,0,0
2020-03-18,Assam,0,0,0
2020-03-18,Bihar,0,0,0
2020-03-18,Chandigarh,0,0,0
2020-03-18,Chhattisgarh,0,0,0
2020-03-18,DD,0,0,0
2020-03-18,Dadra and Nagar Haveli and Daman and Diu,0,0,0
2020-03-18,Delhi,2,0,0
2020-03-18,Goa,0,0,0
2020-03-18,Gujarat,0,0,0
2020-03-18,Haryana,1,0,0
2020-03-18,Himachal Pradesh,0,0,0
2020-03-18,Jammu and Kashmir,1,0,0
2020-03-18,Jharkhand,0,0,0
2020-03-18,Karnataka,5,0,0
2020-03-18,Kerala,0,0,0
2020-03-18,Ladakh,8,0,0
2020-03-18,Lakshadweep,0,0,0
2020-03-18,Madhya Pradesh,0,0,0
2020-03-18,Maharashtra,3,0,0
2020-03-18,Manipur,0,0,0
2020-03-18,Meghalaya,0,0,0
2020-03-18,Mizoram,0,0,0
2020-03-18,Nagaland,0,0,0
2020-03-18,Odisha,1,0,0
2020-03-18,Puducherry,0,0,0
2020-03-18,Punjab,1,0,0
2020-03-18,Rajasthan,3,0,0
2020-03-18,Sikkim,0,0,0
2020-03-18,State Unassigned,0,0,0
2020-03-18,Tamil Nadu,1,0,0
2020-03-18,Telangana,8,0,0
2020-03-18,Total,37,0,0
2020-03-18,Tripura,0,0,0
2020-03-18,Uttar Pradesh,2,0,0
2020-03-18,Uttarakhand,1,0,0
2020-03-18,West Bengal,0,0,0
2020-03-19,Andaman and Nicobar Islands,0,0,0
2020-03-19,Andhra Pradesh,2,0,0
2020-03-19,Arunachal Pradesh,0,0,0
2020-03-19,Assam,0,0,0
2020-03-19,Bihar,0,0,0
2020-03-19,Chandigarh,1,0,0
2020-03-19,Chhattisgarh,1,0,0
2020-03-19,DD,0,0,0
2020-03-19,Dadra and Nagar Haveli and Daman and Diu,0,0,0
2020-03-19,Delhi,4,0,1
2020-03-19,Goa,0,0,0
2020-03-19,Gujarat,2,0,0
2020-03-19,Haryana,1,0,0
2020-03-19,Himachal Pradesh,0,0,0
2020-03-19,Jammu and Kashmir,0,0,0
2020-03-19,Jharkhand,0,0,0
2020-03-19,Karnataka,1,0,0
2020-03-19,Kerala,1,0,0
2020-03-19,Ladakh,0,0,0
2020-03-19,Lakshadweep,0,0,0
2020-03-19,Madhya Pradesh,0,0,0
2020-03-19,Maharashtra,4,0,0
2020-03-19,Manipur,0,0,0
2020-03-19,Meghalaya,0,0,0
2020-03-19,Mizoram,0,0,0
2020-03-19,Nagaland,0,0,0
2020-03-19,Odisha,0,0,0
2020-03-19,Puducherry,0,0,0
2020-03-19,Punjab,0,1,0
2020-03-19,Rajasthan,2,0,0
2020-03-19,Sikkim,0,0,0
2020-03-19,State Unassigned,0,0,0
2020-03-19,Tamil Nadu,1,0,0
2020-03-19,Telangana,3,0,0
2020-03-19,Total,27,1,5
2020-03-19,Tripura,0,0,0
2020-03-19,Uttar Pradesh,3,0,4
2020-03-19,Uttarakhand,1,0,0
