,DailyConfirmed,DailyDeceased,DailyRecovered,TotalConfirmed,TotalDeceased,TotalRecovered
2020-01-30,1,0,0,1,0,0
2020-01-31,0,0,0,1,0,0
2020-02-01,0,0,0,1,0,0
2020-02-02,1,0,0,2,0,0
2020-02-03,1,0,0,3,0,0
2020-02-04,0,0,0,3,0,0
2020-02-05,0,0,0,3,0,0
2020-02-06,0,0,0,3,0,0
2020-02-07,0,0,0,3,0,0
2020-02-08,0,0,0,3,0,0
2020-02-09,0,0,0,3,0,0
2020-02-10,0,0,0,3,0,0
2020-02-11,0,0,0,3,0,0
2020-02-12,0,0,0,3,0,0
2020-02-13,0,0,1,3,0,1
2020-02-14,0,0,0,3,0,1
2020-02-15,0,0,0,3,0,1
2020-02-16,0,0,1,3,0,2
2020-02-17,0,0,0,3,0,2
2020-02-18,0,0,0,3,0,2
2020-02-19,0,0,0,3,0,2
2020-02-20,0,0,1,3,0,3
2020-02-21,0,0,0,3,0,3
2020-02-22,0,0,0,3,0,3
2020-02-23,0,0,0,3,0,3
2020-02-24,0,0,0,3,0,3
2020-02-25,0,0,0,3,0,3
2020-02-26,0,0,0,3,0,3
2020-02-27,0,0,0,3,0,3
2020-02-28,0,0,0,3,0,3
2020-02-29,0,0,0,3,0,3
2020-03-01,0,0,0,3,0,3
2020-03-02,2,0,0,5,0,3
2020-03-03,1,0,0,6,0,3
2020-03-04,22,0,0,28,0,3
2020-03-05,2,0,0,30,0,3
2020-03-06,1,0,0,31,0,3
2020-03-07,3,0,0,34,0,3
2020-03-08,5,0,0,39,0,3
2020-03-09,9,0,0,48,0,3
2020-03-10,15,0,1,63,0,4
2020-03-11,8,0,0,71,0,4
2020-03-12,10,1,0,81,1,4
2020-03-13,10,0,6,91,1,10
2020-03-14,11,1,0,102,2,10
2020-03-15,10,0,3,112,2,13
2020-03-16,14,0,1,126,2,14
2020-03-17,20,1,1,146,3,15
2020-03-18,25,0,0,171,3,15
2020-03-19,27,1,5,198,4,20
2020-03-20,58,0,3,256,4,23
2020-03-21,78,0,0,334,4,23
2020-03-22,69,3,0,403,7,23
2020-03-23,94,2,2,497,9,25
2020-03-24,74,1,15,571,10,40
2020-03-25,86,1,3,657,11,43
2020-03-26,73,5,7,730,16,50
2020-03-27,153,3,25,883,19,75
2020-03-28,136,5,10,1019,24,85
2020-03-29,120,3,17,1139,27,102
2020-03-30,187,16,35,1326,43,137
2020-03-31,309,6,13,1635,49,150
2020-04-01,424,7,19,2059,56,169
2020-04-02,486,16,22,2545,72,191
2020-04-03,560,14,39,3105,86,230
2020-04-04,579,13,56,3684,99,286
2020-04-05,609,22,43,4293,121,329
2020-04-06,485,16,65,4778,137,394
2020-04-07,573,27,75,5351,164,469
2020-04-08,565,20,96,5916,184,565
2020-04-09,813,46,70,6729,230,635
2020-04-10,871,22,151,7600,252,786
2020-04-11,854,40,186,8454,292,972
2020-04-12,758,42,114,9212,334,1086
2020-04-13,1243,27,112,10455,361,1198
2020-04-14,1035,37,167,11490,398,1365
2020-04-15,882,27,144,12372,425,1509
2020-04-16,1062,26,259,13434,451,1768
2020-04-17,920,38,273,14354,489,2041
